,size,width,height,br,psnr,ssim,vmaf
0,2437413,1920,1080,4237445.0,inf,1.0,100.0
1,2020500,1920,1080,4224714.0,inf,1.0,100.0
2,2441939,1920,1080,4417511.0,inf,0.965,97.502
3,1928301,1920,1080,4221045.0,39.352,0.955,96.122
4,2366784,1920,1080,4235553.0,43.509,0.976,94.567
5,2043448,1920,1080,4225480.0,42.659,0.973,96.86
6,1998339,1920,1080,4223766.0,43.829,0.98,97.488
7,2419262,1920,1080,4246721.0,43.288,0.981,97.679
8,1998109,1920,1080,4223770.0,43.713,0.982,98.096
9,1997641,1920,1080,4223760.0,43.985,0.983,98.241
10,2345229,1920,1080,4234875.0,39.516,0.964,95.2
11,2372427,1920,1080,4375712.0,39.75,0.965,96.731
12,2182289,1920,1080,4230088.0,41.041,0.972,97.708
13,2020703,1920,1080,4224597.0,43.584,0.982,97.67
14,2020651,1920,1080,4224595.0,45.65,0.987,99.167
15,2390338,1920,1080,4236170.0,47.473,0.989,98.076
16,2020676,1920,1080,4224692.0,67.927,1.0,99.997
17,2024004,1920,1080,4232346.0,55.392,0.994,99.374
18,2413512,1920,1080,4236748.0,45.086,0.986,98.31
19,2020960,1920,1080,4224612.0,43.557,0.983,97.968
20,2322987,1920,1080,4234266.0,44.917,0.982,97.084
21,2333592,1920,1080,4301356.0,45.509,0.986,98.54
22,2021298,1920,1080,4224584.0,43.309,0.981,97.603
23,2344096,1920,1080,4234904.0,45.387,0.983,97.323
24,1998404,1920,1080,4225518.0,44.733,0.984,96.519
25,1951765,1920,1080,4221990.0,44.604,0.983,96.504
26,2413183,1920,1080,4236733.0,43.563,0.982,95.939
27,2044064,1920,1080,4225448.0,43.126,0.98,95.03
28,2413410,1920,1080,4236739.0,41.849,0.974,95.131
29,2002793,1920,1080,4497907.0,46.426,0.987,97.972
