,size,width,height,br,psnr,ssim,vmaf
0,282738,384,216,371118.0,inf,1.0,100.0
1,233793,384,216,370251.0,inf,1.0,100.0
2,277993,384,216,383753.0,inf,0.966,97.851
3,223349,384,216,369866.0,36.314,0.95,94.467
4,273437,384,216,370881.0,42.618,0.978,95.675
5,236230,384,216,370173.0,44.755,0.987,98.829
6,231954,384,216,370051.0,41.825,0.985,98.467
7,279422,384,216,370934.0,40.478,0.983,98.374
8,231811,384,216,370071.0,41.351,0.985,99.015
9,231323,384,216,370069.0,41.611,0.985,99.125
10,272208,384,216,370787.0,38.368,0.956,94.904
11,270576,384,216,380089.0,36.609,0.947,96.803
12,252476,384,216,370468.0,35.993,0.956,96.057
13,233976,384,216,370109.0,37.661,0.97,96.482
14,233925,384,216,370109.0,39.299,0.976,99.041
15,276481,384,216,370911.0,45.047,0.991,99.54
16,233401,384,216,370229.0,76.342,1.0,99.996
17,235102,384,216,373804.0,59.404,0.995,99.779
18,281244,384,216,374532.0,43.713,0.985,98.751
19,234239,384,216,370119.0,39.683,0.976,97.419
20,270503,384,216,370772.0,44.457,0.988,99.152
21,274973,384,216,387659.0,41.078,0.975,97.915
22,234616,384,216,370106.0,40.745,0.974,97.13
23,271168,384,216,370811.0,44.936,0.989,98.889
24,231320,384,216,370069.0,43.958,0.987,98.216
25,226362,384,216,369934.0,43.847,0.987,98.318
26,278931,384,216,370924.0,42.564,0.982,97.069
27,237147,384,216,370698.0,41.541,0.979,96.143
28,279139,384,216,370938.0,41.541,0.978,97.073
29,227643,384,216,391525.0,45.278,0.989,99.187
