,size,width,height,br,psnr,ssim,vmaf
0,653296,640,360,1036042.0,inf,1.0,100.0
1,541069,640,360,1033136.0,inf,1.0,100.0
2,656456,640,360,1089236.0,inf,0.973,98.872
3,516558,640,360,1032171.0,38.667,0.962,97.289
4,633451,640,360,1035520.0,43.747,0.982,96.512
5,547067,640,360,1033205.0,44.576,0.985,98.708
6,536319,640,360,1033944.0,43.632,0.988,99.027
7,646530,640,360,1035782.0,42.565,0.987,99.005
8,535881,640,360,1033477.0,43.442,0.988,99.386
9,535128,640,360,1032826.0,43.591,0.989,99.461
10,628809,640,360,1035338.0,39.388,0.965,95.923
11,632341,640,360,1067784.0,38.338,0.961,97.7
12,584364,640,360,1034242.0,38.575,0.967,98.013
13,541261,640,360,1032996.0,40.658,0.98,98.108
14,541193,640,360,1033011.0,42.391,0.984,99.561
15,640053,640,360,1035653.0,47.036,0.992,99.761
16,541150,640,360,1033117.0,73.548,1.0,99.995
17,543462,640,360,1038666.0,58.082,0.995,99.67
18,646932,640,360,1036908.0,45.023,0.988,99.256
19,541521,640,360,1033018.0,41.799,0.982,98.467
20,623487,640,360,1035211.0,46.124,0.99,99.358
21,631424,640,360,1065252.0,43.519,0.984,99.012
22,541877,640,360,1032994.0,42.09,0.979,97.934
23,636076,640,360,1051056.0,46.574,0.991,99.262
24,535071,640,360,1032813.0,45.222,0.989,98.53
25,523093,640,360,1032401.0,45.21,0.989,98.709
26,646106,640,360,1035950.0,43.671,0.985,97.747
27,547686,640,360,1033196.0,42.629,0.982,96.683
28,646195,640,360,1035763.0,42.748,0.981,97.83
29,526254,640,360,1082304.0,46.795,0.991,99.323
