,size,width,height,br,psnr,ssim,vmaf
0,1366935,1280,720,2316587.0,inf,1.0,100.0
1,1132836,1280,720,2309753.0,inf,1.0,100.0
2,1370630,1280,720,2420508.0,inf,0.966,98.076
3,1081254,1280,720,2307715.0,38.762,0.955,96.342
4,1326778,1280,720,2315520.0,43.178,0.977,94.86
5,1145625,1280,720,2310124.0,42.663,0.976,97.295
6,1120828,1280,720,2309197.0,43.44,0.983,97.988
7,1355205,1280,720,2319372.0,42.699,0.983,98.074
8,1120594,1280,720,2309192.0,43.483,0.985,98.666
9,1120132,1280,720,2309194.0,43.638,0.985,98.782
10,1315725,1280,720,2315784.0,38.857,0.96,95.148
11,1338038,1280,720,2409425.0,38.718,0.961,96.859
12,1223527,1280,720,2312564.0,39.874,0.968,97.785
13,1133037,1280,720,2309632.0,42.103,0.98,97.542
14,1132978,1280,720,2309632.0,44.203,0.985,99.353
15,1340167,1280,720,2315858.0,47.162,0.99,98.855
16,1133005,1280,720,2309734.0,68.707,1.0,99.995
17,1135265,1280,720,2315066.0,55.149,0.994,99.38
18,1354172,1280,720,2317943.0,44.607,0.986,98.512
19,1133293,1280,720,2309645.0,42.683,0.982,98.098
20,1303284,1280,720,2314825.0,45.463,0.986,98.092
21,1306849,1280,720,2349574.0,44.319,0.984,98.489
22,1133625,1280,720,2309621.0,42.334,0.979,97.407
23,1314238,1280,720,2315169.0,45.75,0.987,98.089
24,1121386,1280,720,2312024.0,44.587,0.985,97.233
25,1094561,1280,720,2308232.0,44.512,0.985,97.33
26,1352865,1280,720,2316143.0,42.987,0.981,96.183
27,1147578,1280,720,2312945.0,42.299,0.979,95.134
28,1353084,1280,720,2316148.0,41.784,0.975,96.169
29,1108469,1280,720,2429109.0,46.358,0.988,98.44
