,size,width,height,br,psnr,ssim,vmaf
0,488585,512,288,740488.0,inf,1.0,100.0
1,404487,512,288,738490.0,inf,1.0,100.0
2,488624,512,288,776386.0,inf,0.974,98.961
3,386223,512,288,737770.0,38.273,0.961,97.143
4,473425,512,288,740089.0,43.889,0.982,96.931
5,408881,512,288,738496.0,45.001,0.987,98.933
6,400769,512,288,738218.0,43.504,0.988,99.103
7,483752,512,288,740969.0,42.391,0.987,99.079
8,400919,512,288,739016.0,43.252,0.988,99.49
9,400088,512,288,738231.0,43.48,0.989,99.537
10,470285,512,288,739943.0,39.679,0.966,96.222
11,472910,512,288,764694.0,38.122,0.96,97.641
12,436841,512,288,739198.0,38.066,0.967,97.899
13,404677,512,288,738345.0,39.98,0.979,98.025
14,404616,512,288,738358.0,41.996,0.984,99.641
15,478467,512,288,740183.0,46.823,0.993,99.841
16,404272,512,288,738470.0,75.917,1.0,99.993
17,405629,512,288,741734.0,59.991,0.995,99.787
18,486150,512,288,745682.0,44.977,0.988,99.296
19,404936,512,288,738365.0,41.448,0.981,98.491
20,466588,512,288,739873.0,45.995,0.99,99.493
21,467953,512,288,754466.0,43.069,0.983,98.922
22,405293,512,288,738343.0,42.136,0.98,97.982
23,481570,512,288,763032.0,46.574,0.991,99.393
24,400048,512,288,738220.0,45.13,0.989,98.67
25,391340,512,288,738293.0,45.305,0.989,98.878
26,482840,512,288,740239.0,43.692,0.985,97.871
27,409531,512,288,738485.0,42.861,0.983,97.036
28,483042,512,288,740243.0,42.996,0.982,98.201
29,393103,512,288,774275.0,46.801,0.991,99.509
