,size,width,height,br,psnr,ssim,vmaf
0,4523445,2560,1440,7980607.0,inf,1.0,100.0
1,3750282,2560,1440,7956380.0,inf,1.0,100.0
2,4588733,2560,1440,8419304.0,inf,0.969,97.603
3,3578913,2560,1440,7949488.0,40.801,0.961,97.682
4,4393355,2560,1440,7977086.0,44.504,0.978,95.59
5,3793019,2560,1440,7957900.0,43.347,0.973,97.264
6,3708332,2560,1440,7954662.0,44.175,0.978,97.535
7,4487236,2560,1440,7992487.0,43.951,0.979,97.948
8,3708099,2560,1440,7954660.0,44.185,0.98,98.07
9,3709730,2560,1440,7959229.0,44.331,0.98,98.194
10,4352100,2560,1440,7975825.0,41.139,0.972,96.442
11,4496261,2560,1440,8413071.0,41.699,0.974,97.782
12,4050613,2560,1440,7966738.0,42.723,0.977,98.571
13,3750488,2560,1440,7956270.0,44.94,0.985,98.079
14,3750435,2560,1440,7956266.0,46.903,0.988,99.254
15,4436785,2560,1440,7978247.0,48.043,0.989,97.913
16,3750458,2560,1440,7956359.0,inf,1.0,99.997
17,3761571,2560,1440,7980807.0,56.444,0.995,99.463
18,4484660,2560,1440,7988263.0,46.082,0.988,98.635
19,3750740,2560,1440,7956275.0,44.55,0.984,98.329
20,4310061,2560,1440,7974642.0,44.469,0.977,96.614
21,4313966,2560,1440,8066045.0,47.042,0.989,98.884
22,3751105,2560,1440,7956253.0,45.068,0.986,98.475
23,4449413,2560,1440,8159381.0,45.36,0.98,97.316
24,3714911,2560,1440,7970626.0,45.356,0.984,96.612
25,3622168,2560,1440,7951264.0,45.25,0.983,96.596
26,4479418,2560,1440,7979349.0,45.08,0.985,96.887
27,3797138,2560,1440,7965341.0,44.675,0.984,96.255
28,4479640,2560,1440,7979346.0,43.767,0.982,96.509
29,3681181,2560,1440,8380446.0,46.625,0.986,97.786
