,size,width,height,br,psnr,ssim,vmaf
0,9299396,3840,2160,16550547.0,inf,1.0,100.0
1,7710612,3840,2160,16500016.0,inf,1.0,100.0
2,9373122,3840,2160,17337793.0,inf,0.973,97.13
3,7357987,3840,2160,16485770.0,41.892,0.966,97.964
4,9033314,3840,2160,16543277.0,45.382,0.98,95.803
5,7806422,3840,2160,16519829.0,43.826,0.974,96.907
6,7623347,3840,2160,16496515.0,43.672,0.972,96.719
7,9210633,3840,2160,16548090.0,43.33,0.97,97.118
8,7623112,3840,2160,16496509.0,43.597,0.972,97.301
9,7675844,3840,2160,16612570.0,43.603,0.972,97.295
10,8946810,3840,2160,16540723.0,42.397,0.976,96.672
11,9214883,3840,2160,17383027.0,43.343,0.979,97.854
12,8328131,3840,2160,16521776.0,44.155,0.981,98.546
13,7710814,3840,2160,16499897.0,46.136,0.986,97.866
14,7710765,3840,2160,16499901.0,47.799,0.989,98.754
15,9122110,3840,2160,16545700.0,48.472,0.989,97.24
16,7710788,3840,2160,16499994.0,inf,1.0,99.996
17,7785079,3840,2160,16660737.0,57.313,0.995,99.413
18,9217581,3840,2160,16561103.0,46.367,0.987,98.231
19,7898066,3840,2160,16903317.0,44.659,0.982,97.787
20,8859454,3840,2160,16538208.0,42.933,0.965,95.066
21,8828268,3840,2160,16647477.0,48.137,0.988,98.626
22,7725741,3840,2160,16530785.0,46.713,0.989,98.813
23,9196854,3840,2160,17008989.0,44.431,0.97,96.411
24,7644869,3840,2160,16545082.0,45.467,0.982,95.845
25,7446554,3840,2160,16489431.0,45.497,0.981,95.959
26,9210094,3840,2160,16548065.0,46.345,0.988,97.084
27,7800524,3840,2160,16505900.0,46.13,0.987,96.76
28,9230563,3840,2160,16584793.0,45.177,0.985,96.586
29,7445942,3840,2160,17089293.0,46.577,0.984,97.084
