,size,width,height,br,psnr,ssim,vmaf
0,384313,512,288,553383.0,inf,1.0,100.0
1,318023,512,288,551961.0,inf,1.0,100.0
2,377774,512,288,569753.0,inf,0.967,98.049
3,303724,512,288,551419.0,36.878,0.951,94.879
4,372121,512,288,553067.0,42.715,0.978,95.5
5,321432,512,288,551938.0,44.001,0.985,98.408
6,315296,512,288,551731.0,42.026,0.984,98.428
7,380361,512,288,553695.0,40.897,0.983,98.318
8,315241,512,288,552082.0,41.802,0.985,98.92
9,314615,512,288,551744.0,42.084,0.986,99.114
10,369969,512,288,552946.0,38.368,0.956,94.603
11,368107,512,288,565464.0,36.754,0.948,96.467
12,343451,512,288,552418.0,36.801,0.957,96.386
13,318215,512,288,551820.0,38.48,0.971,96.683
14,318155,512,288,551836.0,40.027,0.977,98.981
15,376178,512,288,553141.0,45.52,0.991,99.458
16,317808,512,288,551941.0,73.888,1.0,99.966
17,317825,512,288,552314.0,58.486,0.994,99.626
18,383558,512,288,559855.0,43.817,0.986,98.75
19,318475,512,288,551842.0,40.02,0.976,97.359
20,367267,512,288,552916.0,44.806,0.988,98.966
21,370543,512,288,569291.0,41.795,0.978,98.169
22,318829,512,288,551814.0,40.918,0.975,96.961
23,368883,512,288,552974.0,45.165,0.989,98.721
24,314575,512,288,551733.0,43.943,0.987,98.029
25,307687,512,288,551533.0,44.061,0.987,98.247
26,379558,512,288,553162.0,42.5,0.981,96.86
27,322085,512,288,551933.0,41.336,0.978,95.403
28,379771,512,288,553186.0,41.635,0.977,97.042
29,309597,512,288,581105.0,45.559,0.989,99.012
