,size,width,height,br,psnr,ssim,vmaf
0,6444817,3840,2160,11428310.0,inf,1.0,100.0
1,5343533,3840,2160,11393506.0,inf,1.0,100.0
2,6606614,3840,2160,12180806.0,inf,0.967,95.779
3,5099251,3840,2160,11383682.0,40.591,0.958,95.017
4,6259990,3840,2160,11423292.0,44.343,0.977,93.946
5,5411637,3840,2160,11410952.0,43.012,0.971,95.907
6,5283358,3840,2160,11391082.0,43.084,0.969,95.651
7,6383146,3840,2160,11426602.0,42.732,0.968,95.932
8,5283128,3840,2160,11391087.0,42.972,0.969,96.153
9,5282657,3840,2160,11391069.0,43.087,0.97,96.43
10,6200571,3840,2160,11421518.0,40.846,0.969,94.387
11,6289615,3840,2160,11822120.0,41.573,0.972,95.974
12,5771470,3840,2160,11408452.0,42.804,0.977,96.834
13,5343743,3840,2160,11393405.0,44.932,0.983,96.17
14,5343688,3840,2160,11393396.0,46.918,0.988,97.841
15,6321708,3840,2160,11424963.0,47.853,0.988,96.176
16,5343709,3840,2160,11393484.0,67.035,1.0,99.99
17,5395377,3840,2160,11505423.0,55.817,0.995,99.166
18,6382904,3840,2160,11426592.0,45.511,0.986,97.391
19,5396957,3840,2160,11507664.0,43.738,0.979,96.393
20,6140298,3840,2160,11419794.0,42.555,0.963,94.006
21,6140698,3840,2160,11538432.0,46.961,0.987,97.687
22,5344337,3840,2160,11393372.0,45.396,0.987,97.557
23,6199422,3840,2160,11421541.0,43.796,0.968,95.163
24,5290392,3840,2160,11408040.0,44.644,0.98,94.571
25,5160735,3840,2160,11386205.0,44.593,0.979,94.439
26,6382608,3840,2160,11426579.0,44.929,0.985,95.097
27,5420696,3840,2160,11428932.0,44.672,0.984,94.431
28,6382800,3840,2160,11426579.0,43.726,0.981,94.241
29,5217745,3840,2160,11934907.0,45.99,0.983,96.22
