,size,width,height,br,psnr,ssim,vmaf
0,205890,320,180,233193.0,inf,1.0,100.0
1,170058,320,180,232755.0,inf,1.0,100.0
2,200869,320,180,239988.0,inf,0.959,96.431
3,162532,320,180,232491.0,34.994,0.94,92.025
4,198743,320,180,232999.0,41.761,0.974,94.752
5,171766,320,180,232633.0,44.261,0.987,98.6
6,168951,320,180,232573.0,40.678,0.982,98.005
7,203484,320,180,233285.0,39.248,0.979,97.871
8,168779,320,180,232581.0,40.22,0.982,98.683
9,168314,320,180,232594.0,40.272,0.982,98.593
10,198282,320,180,232938.0,37.566,0.95,93.904
11,196978,320,180,240195.0,35.525,0.937,95.907
12,183630,320,180,232776.0,34.775,0.948,94.606
13,170180,320,180,232602.0,36.069,0.96,95.432
14,170170,320,180,232604.0,37.503,0.967,98.214
15,201042,320,180,233009.0,43.552,0.988,99.24
16,169761,320,180,232732.0,73.829,1.0,99.969
17,170533,320,180,234509.0,58.592,0.994,99.823
18,205318,320,180,237005.0,42.763,0.983,98.183
19,170507,320,180,232630.0,38.321,0.97,96.501
20,197273,320,180,232943.0,43.225,0.985,98.644
21,198161,320,180,241670.0,39.946,0.97,97.151
22,170992,320,180,232936.0,39.784,0.97,96.056
23,199429,320,180,237099.0,43.652,0.987,98.485
24,168286,320,180,232575.0,42.762,0.985,97.742
25,164860,320,180,232645.0,42.711,0.984,97.864
26,202805,320,180,233006.0,41.878,0.98,96.659
27,172424,320,180,232640.0,40.824,0.976,95.553
28,202952,320,180,233011.0,40.905,0.975,96.466
29,165620,320,180,248105.0,44.239,0.987,98.83
