,size,width,height,br,psnr,ssim,vmaf
0,1037558,960,520,1725559.0,inf,1.0,100.0
1,859709,960,520,1720540.0,inf,1.0,100.0
2,1050865,960,520,1824445.0,inf,0.972,98.798
3,820626,960,520,1719007.0,38.893,0.959,97.172
4,1006789,960,520,1724760.0,43.457,0.979,95.803
5,869363,960,520,1720770.0,43.645,0.981,98.224
6,850821,960,520,1720095.0,43.828,0.986,98.804
7,1028287,960,520,1727222.0,42.805,0.985,98.698
8,850593,960,520,1720104.0,43.557,0.987,99.092
9,850130,960,520,1720104.0,43.759,0.987,99.242
10,998493,960,520,1724458.0,39.18,0.963,95.877
11,1012385,960,520,1790320.0,38.705,0.962,97.415
12,928524,960,520,1722562.0,39.565,0.969,98.24
13,859906,960,520,1720410.0,41.793,0.981,98.207
14,859829,960,520,1720423.0,43.539,0.985,99.576
15,1017032,960,520,1724986.0,47.245,0.991,99.431
16,859838,960,520,1720520.0,70.928,1.0,99.998
17,861078,960,520,1723808.0,56.246,0.994,99.502
18,1027239,960,520,1725766.0,44.906,0.988,98.989
19,860162,960,520,1720423.0,42.662,0.983,98.664
20,989528,960,520,1724229.0,46.026,0.989,98.911
21,998369,960,520,1763008.0,44.058,0.984,98.833
22,860520,960,520,1720404.0,42.325,0.98,97.754
23,1002795,960,520,1734634.0,46.236,0.989,98.821
24,851354,960,520,1722868.0,45.094,0.987,98.117
25,830805,960,520,1719386.0,45.0,0.987,98.202
26,1026598,960,520,1725187.0,43.266,0.983,97.062
27,870257,960,520,1721331.0,42.671,0.981,96.249
28,1026820,960,520,1725197.0,42.549,0.98,97.511
29,835851,960,520,1798480.0,46.728,0.99,99.016
